class,precision,recall,f1-score,support
airplane,0.9523809523809523,1.0,0.975609756097561,100.0
bathtub,0.9545454545454546,0.84,0.8936170212765957,50.0
bed,0.93,0.93,0.93,100.0
bench,0.5,0.9,0.6428571428571429,20.0
bookshelf,0.86,0.86,0.86,100.0
bottle,0.945054945054945,0.86,0.900523560209424,100.0
bowl,0.8571428571428571,0.6,0.7058823529411765,20.0
car,0.978021978021978,0.89,0.9319371727748691,100.0
chair,0.8839285714285714,0.99,0.9339622641509434,100.0
cone,0.7142857142857143,0.75,0.7317073170731707,20.0
cup,0.5882352941176471,0.5,0.5405405405405406,20.0
curtain,0.41935483870967744,0.65,0.5098039215686274,20.0
desk,0.7319587628865979,0.8255813953488372,0.7759562841530054,86.0
door,0.6818181818181818,0.75,0.7142857142857143,20.0
dresser,0.6545454545454545,0.8372093023255814,0.7346938775510204,86.0
flower_pot,0.1111111111111111,0.05,0.06896551724137931,20.0
glass_box,0.8913043478260869,0.82,0.8541666666666666,100.0
guitar,0.98989898989899,0.98,0.9849246231155779,100.0
keyboard,0.8,1.0,0.8888888888888888,20.0
lamp,0.7647058823529411,0.65,0.7027027027027027,20.0
laptop,0.8695652173913043,1.0,0.9302325581395349,20.0
mantel,0.8425925925925926,0.91,0.875,100.0
monitor,0.8482142857142857,0.95,0.8962264150943396,100.0
night_stand,0.49,0.5697674418604651,0.5268817204301075,86.0
person,0.6428571428571429,0.9,0.75,20.0
piano,0.9078947368421053,0.69,0.7840909090909091,100.0
plant,0.79,0.79,0.79,100.0
radio,0.625,0.25,0.35714285714285715,20.0
range_hood,1.0,0.7,0.8235294117647058,100.0
sink,0.7333333333333333,0.55,0.6285714285714286,20.0
sofa,0.8660714285714286,0.97,0.9150943396226415,100.0
stairs,0.8,0.6,0.6857142857142857,20.0
stool,0.7058823529411765,0.6,0.6486486486486487,20.0
table,0.8241758241758241,0.75,0.7853403141361257,100.0
tent,0.6818181818181818,0.75,0.7142857142857143,20.0
toilet,0.9587628865979382,0.93,0.9441624365482234,100.0
tv_stand,0.84,0.63,0.72,100.0
vase,0.6357142857142857,0.89,0.7416666666666667,100.0
wardrobe,0.5882352941176471,0.5,0.5405405405405406,20.0
xbox,0.5555555555555556,0.25,0.3448275862068966,20.0
accuracy,0.8156401944894651,0.8156401944894651,0.8156401944894651,0.8156401944894651
macro avg,0.760349161358749,0.7465639534883721,0.7420745289174657,2468.0
weighted avg,0.8250754607210199,0.8156401944894651,0.8130648301735072,2468.0
