class,precision,recall,f1-score,support
airplane,0.970873786407767,1.0,0.9852216748768473,100.0
bathtub,0.9024390243902439,0.74,0.8131868131868132,50.0
bed,0.9294117647058824,0.79,0.8540540540540541,100.0
bench,0.5,0.6,0.5454545454545454,20.0
bookshelf,0.7175572519083969,0.94,0.8138528138528138,100.0
bottle,0.8854166666666666,0.85,0.8673469387755102,100.0
bowl,0.6875,0.55,0.6111111111111112,20.0
car,0.9514563106796117,0.98,0.9655172413793104,100.0
chair,0.6139240506329114,0.97,0.751937984496124,100.0
cone,0.68,0.85,0.7555555555555555,20.0
cup,1.0,0.25,0.4,20.0
curtain,0.42857142857142855,0.3,0.35294117647058826,20.0
desk,0.796875,0.5930232558139535,0.68,86.0
door,0.5925925925925926,0.8,0.6808510638297872,20.0
dresser,0.5375,0.5,0.5180722891566265,86.0
flower_pot,0.4,0.1,0.16,20.0
glass_box,0.9705882352941176,0.66,0.7857142857142857,100.0
guitar,1.0,0.97,0.9847715736040609,100.0
keyboard,0.9523809523809523,1.0,0.975609756097561,20.0
lamp,0.48484848484848486,0.8,0.6037735849056604,20.0
laptop,0.7692307692307693,1.0,0.8695652173913043,20.0
mantel,0.9139784946236559,0.85,0.8808290155440415,100.0
monitor,0.7899159663865546,0.94,0.8584474885844748,100.0
night_stand,0.6538461538461539,0.19767441860465115,0.30357142857142855,86.0
person,0.7619047619047619,0.8,0.7804878048780488,20.0
piano,0.5460122699386503,0.89,0.6768060836501901,100.0
plant,0.8229166666666666,0.79,0.8061224489795918,100.0
radio,0.46153846153846156,0.3,0.36363636363636365,20.0
range_hood,0.9294117647058824,0.79,0.8540540540540541,100.0
sink,0.6666666666666666,0.4,0.5,20.0
sofa,0.8392857142857143,0.94,0.8867924528301887,100.0
stairs,0.36585365853658536,0.75,0.4918032786885246,20.0
stool,0.25925925925925924,0.35,0.2978723404255319,20.0
table,0.8589743589743589,0.67,0.7528089887640449,100.0
tent,0.56,0.7,0.6222222222222222,20.0
toilet,0.8811881188118812,0.89,0.8855721393034826,100.0
tv_stand,0.8604651162790697,0.37,0.5174825174825175,100.0
vase,0.639344262295082,0.78,0.7027027027027027,100.0
wardrobe,1.0,0.15,0.2608695652173913,20.0
xbox,0.15151515151515152,0.5,0.23255813953488372,20.0
accuracy,0.7532414910858996,0.7532414910858996,0.7532414910858996,0.7532414910858996
macro avg,0.7183310791136096,0.6825174418604651,0.666229417874556,2468.0
weighted avg,0.7871224854608876,0.7532414910858996,0.7467140926892887,2468.0
