class,precision,recall,f1-score,support
airplane,1.0,0.96,0.9795918367346939,100.0
bathtub,0.9318181818181818,0.82,0.8723404255319149,50.0
bed,0.9150943396226415,0.97,0.941747572815534,100.0
bench,0.6086956521739131,0.7,0.6511627906976745,20.0
bookshelf,0.6906474820143885,0.96,0.803347280334728,100.0
bottle,0.7903225806451613,0.98,0.875,100.0
bowl,0.6206896551724138,0.9,0.7346938775510204,20.0
car,0.8275862068965517,0.96,0.8888888888888888,100.0
chair,0.9595959595959596,0.95,0.9547738693467337,100.0
cone,0.8571428571428571,0.9,0.8780487804878049,20.0
cup,0.4444444444444444,0.4,0.42105263157894735,20.0
curtain,0.4642857142857143,0.65,0.5416666666666666,20.0
desk,0.7586206896551724,0.7674418604651163,0.7630057803468208,86.0
door,0.75,0.3,0.42857142857142855,20.0
dresser,0.7755102040816326,0.4418604651162791,0.562962962962963,86.0
flower_pot,0.0,0.0,0.0,20.0
glass_box,0.7431192660550459,0.81,0.7751196172248804,100.0
guitar,0.9680851063829787,0.91,0.9381443298969072,100.0
keyboard,0.6785714285714286,0.95,0.7916666666666666,20.0
lamp,0.6111111111111112,0.55,0.5789473684210527,20.0
laptop,0.8695652173913043,1.0,0.9302325581395349,20.0
mantel,0.6842105263157895,0.91,0.7811158798283262,100.0
monitor,0.9223300970873787,0.95,0.9359605911330049,100.0
night_stand,0.8771929824561403,0.5813953488372093,0.6993006993006993,86.0
person,0.4827586206896552,0.7,0.5714285714285714,20.0
piano,0.8369565217391305,0.77,0.8020833333333334,100.0
plant,0.7789473684210526,0.74,0.7589743589743589,100.0
radio,0.4166666666666667,0.25,0.3125,20.0
range_hood,1.0,0.72,0.8372093023255814,100.0
sink,0.75,0.45,0.5625,20.0
sofa,0.9591836734693877,0.94,0.9494949494949495,100.0
stairs,0.6923076923076923,0.45,0.5454545454545454,20.0
stool,0.7222222222222222,0.65,0.6842105263157895,20.0
table,0.803921568627451,0.82,0.8118811881188119,100.0
tent,0.5,0.85,0.6296296296296297,20.0
toilet,0.9489795918367347,0.93,0.9393939393939394,100.0
tv_stand,0.6071428571428571,0.68,0.6415094339622641,100.0
vase,0.7857142857142857,0.55,0.6470588235294118,100.0
wardrobe,0.6153846153846154,0.4,0.48484848484848486,20.0
xbox,0.26666666666666666,0.6,0.36923076923076925,20.0
accuracy,0.7941653160453809,0.7941653160453809,0.7941653160453809,0.7941653160453809
macro avg,0.7228873013452157,0.7205174418604651,0.7068687589791833,2468.0
weighted avg,0.8035489290457035,0.7941653160453809,0.7885885813567681,2468.0
