class,precision,recall,f1-score,support
airplane,0.8050847457627118,0.95,0.8715596330275229,100.0
bathtub,0.6666666666666666,0.04,0.07547169811320754,50.0
bed,0.8426966292134831,0.75,0.7936507936507936,100.0
bench,0.28205128205128205,0.55,0.3728813559322034,20.0
bookshelf,0.5683453237410072,0.79,0.6610878661087866,100.0
bottle,0.39908256880733944,0.87,0.5471698113207547,100.0
bowl,1.0,0.4,0.5714285714285714,20.0
car,0.8020833333333334,0.77,0.7857142857142857,100.0
chair,0.5647058823529412,0.96,0.7111111111111111,100.0
cone,0.34782608695652173,0.8,0.48484848484848486,20.0
cup,0.0,0.0,0.0,20.0
curtain,0.5333333333333333,0.4,0.45714285714285713,20.0
desk,0.3088235294117647,0.2441860465116279,0.2727272727272727,86.0
door,0.2894736842105263,0.55,0.3793103448275862,20.0
dresser,0.7659574468085106,0.4186046511627907,0.5413533834586466,86.0
flower_pot,0.0,0.0,0.0,20.0
glass_box,0.8823529411764706,0.15,0.2564102564102564,100.0
guitar,0.8979591836734694,0.88,0.8888888888888888,100.0
keyboard,0.8125,0.65,0.7222222222222222,20.0
lamp,0.0,0.0,0.0,20.0
laptop,0.75,0.75,0.75,20.0
mantel,0.46078431372549017,0.47,0.46534653465346537,100.0
monitor,0.8181818181818182,0.9,0.8571428571428571,100.0
night_stand,0.42028985507246375,0.6744186046511628,0.5178571428571429,86.0
person,0.25,0.25,0.25,20.0
piano,0.8,0.24,0.36923076923076925,100.0
plant,0.578125,0.37,0.45121951219512196,100.0
radio,0.0,0.0,0.0,20.0
range_hood,0.9333333333333333,0.56,0.7,100.0
sink,0.6666666666666666,0.2,0.3076923076923077,20.0
sofa,0.4009009009009009,0.89,0.5527950310559007,100.0
stairs,0.25,0.05,0.08333333333333333,20.0
stool,0.8333333333333334,0.25,0.38461538461538464,20.0
table,0.5514705882352942,0.75,0.635593220338983,100.0
tent,0.38461538461538464,0.25,0.30303030303030304,20.0
toilet,0.883495145631068,0.91,0.896551724137931,100.0
tv_stand,0.6557377049180327,0.4,0.4968944099378882,100.0
vase,0.4824561403508772,0.55,0.514018691588785,100.0
wardrobe,0.0,0.0,0.0,20.0
xbox,0.2962962962962963,0.4,0.3404255319148936,20.0
accuracy,0.5846839546191248,0.5846839546191248,0.5846839546191248,0.5846839546191248
macro avg,0.529615727969008,0.4759302325581395,0.45671813976646297,2468.0
weighted avg,0.6193318077421122,0.5846839546191248,0.5558741447384671,2468.0
